epoch,accuracy,loss,val_accuracy,val_loss
0,0.3846566677093506,1.751429796218872,0.36979004740715027,2.1050286293029785
1,0.4669910967350006,1.5766561031341553,0.27013474702835083,2.032188892364502
2,0.5324006080627441,1.4466055631637573,0.27013474702835083,2.0159831047058105
3,0.5704726576805115,1.3506883382797241,0.12879975140094757,1.9922511577606201
4,0.6025691628456116,1.2749760150909424,0.12879975140094757,1.956321358680725
5,0.6202096939086914,1.212345004081726,0.22187401354312897,1.883191704750061
6,0.6333416700363159,1.1691937446594238,0.36979004740715027,1.8659461736679077
7,0.6481196284294128,1.1250262260437012,0.18458163738250732,1.8379942178726196
8,0.6580312848091125,1.0930557250976562,0.11031024903059006,1.852881669998169
9,0.6700182557106018,1.0625786781311035,0.10905671864748001,1.8236318826675415
10,0.6772819757461548,1.0383905172348022,0.36979004740715027,1.7065751552581787
11,0.6823988556861877,1.0201483964920044,0.18708868324756622,1.7300230264663696
12,0.6937059164047241,0.9922247529029846,0.3826386630535126,1.6226848363876343
13,0.6975346207618713,0.9766350984573364,0.4869946837425232,1.552793264389038
14,0.6989301443099976,0.9565735459327698,0.4481353759765625,1.5042526721954346
15,0.7110244631767273,0.9433161616325378,0.43654027581214905,1.4358114004135132
16,0.7152824997901917,0.9297060370445251,0.5430899262428284,1.2748945951461792
17,0.7154614329338074,0.9158746600151062,0.6110936999320984,1.103689193725586
18,0.721759021282196,0.9009263515472412,0.6800376176834106,0.9436970949172974
19,0.7223315834999084,0.8944778442382812,0.7135694026947021,0.8328124284744263
20,0.725766658782959,0.8882830142974854,0.6784706711769104,0.870766282081604
21,0.7298099994659424,0.8739786744117737,0.7430272698402405,0.7541808485984802
22,0.7334955334663391,0.8678920865058899,0.6831713914871216,0.8807455897331238
23,0.7353919744491577,0.8589009046554565,0.7508618235588074,0.7156854271888733
24,0.7402940988540649,0.8426015973091125,0.7640238404273987,0.6837884783744812
25,0.7445521950721741,0.8334928750991821,0.7129426598548889,0.7978431582450867
26,0.7448742389678955,0.8295004367828369,0.7586963176727295,0.7193860411643982
27,0.7461981773376465,0.8218814134597778,0.7715449929237366,0.6663843393325806
28,0.7492396235466003,0.8189037442207336,0.7336258292198181,0.7616609334945679
29,0.7504204511642456,0.81171053647995,0.7659041285514832,0.6620771884918213
30,0.755573034286499,0.8022323846817017,0.7643371820449829,0.6857858300209045
31,0.755573034286499,0.7971987724304199,0.7696647047996521,0.6512323617935181
32,0.7577199935913086,0.79855877161026,0.7270448207855225,0.7537013292312622
33,0.7570043206214905,0.7893444895744324,0.7740520238876343,0.6492556929588318
34,0.7594732642173767,0.7835586667060852,0.7903478741645813,0.6134558916091919
35,0.7667728066444397,0.7713033556938171,0.7627702951431274,0.6733317375183105
36,0.7631946206092834,0.7723525762557983,0.7859604954719543,0.6255037188529968
37,0.7671306133270264,0.7662484049797058,0.788780927658081,0.5923430323600769
38,0.7676315903663635,0.7638623714447021,0.796302080154419,0.5836526155471802
39,0.7706730365753174,0.7572888135910034,0.7806330323219299,0.6378414630889893
40,0.7709950804710388,0.7585538625717163,0.7850203514099121,0.6345512270927429
41,0.775002658367157,0.7480575442314148,0.7906612157821655,0.6143057942390442
42,0.7740723490715027,0.7511117458343506,0.7633970379829407,0.6758379936218262
